Gene_ID	Gene_names	Otholog	Molecular_function	Biological_process	Cellular_component
HUMAN|HGNC=16821|UniProtKB=P78316	NOP14	Nucleolar protein 14;NOP14;ortholog		nitrogen compound metabolic process(GO:0008152);rRNA metabolic process(GO:0006807);cellular process(GO:0044238);cellular component biogenesis(GO:0006139)	ribonucleoprotein complex(GO:0032991);protein complex(GO:0030529);nucleus(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=10430|UniProtKB=Q15418	RPS6KA1	Ribosomal protein S6 kinase alpha-1;RPS6KA1;ortholog	protein kinase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);protein phosphorylation(GO:0006796);cell communication(GO:0044238);response to stimulus(GO:0019538);regulation of biological process(GO:0006464)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=7774|UniProtKB=O94916	NFAT5	Nuclear factor of activated T-cells 5;NFAT5;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	immune response(GO:0002376);transcription from RNA polymerase II promoter(GO:0006955);cell communication(GO:0008152);response to stress(GO:0044238);cellular defense response(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070)	
HUMAN|HGNC=5224|UniProtKB=Q00613	HSF1	Heat shock factor protein 1;HSF1;ortholog			
HUMAN|HGNC=9718|UniProtKB=P49023	PXN	Paxillin;PXN;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular component movement(GO:0009987);mesoderm development(GO:0006928);system development(GO:0032502)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=30346|UniProtKB=Q9NYV6	RRN3	RNA polymerase I-specific transcription initiation factor RRN3;RRN3;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);rRNA metabolic process(GO:0044238)	
HUMAN|HGNC=6470|UniProtKB=P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787);receptor activity(GO:0016788)	immune system process(GO:0002376);induction of apoptosis(GO:0006915);cellular protein modification process(GO:0006917);cell cycle(GO:0008152);cell-cell signaling(GO:0044238);cell-cell adhesion(GO:0019538);muscle contraction(GO:0006464);neurological system process(GO:0009987);ectoderm development(GO:0007049);mesoderm development(GO:0007154);induction of apoptosis(GO:0007267);angiogenesis(GO:0022610);nervous system development(GO:0007155);muscle organ development(GO:0016337)	
HUMAN|HGNC=11343|UniProtKB=P50502	ST13	Hsc70-interacting protein;ST13;ortholog			
HUMAN|HGNC=962|UniProtKB=Q9UIF9	BAZ2A	Bromodomain adjacent to zinc finger domain protein 2A;BAZ2A;ortholog	acetyltransferase activity(GO:0003824);nucleic acid binding(GO:0016740);chromatin binding(GO:0016746)	transcription from RNA polymerase II promoter(GO:0008152);cellular process(GO:0044238);chromatin organization(GO:0006139)	
HUMAN|HGNC=2928|UniProtKB=P11532	DMD	Dystrophin;DMD;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular process(GO:0009987);ectoderm development(GO:0032502);mesoderm development(GO:0007398);cellular component morphogenesis(GO:0007498);cellular component organization(GO:0009653)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=15867|UniProtKB=Q9BYJ9	YTHDF1	YTH domain-containing family protein 1;YTHDF1;ortholog			
HUMAN|HGNC=30634|UniProtKB=Q12770	SCAP	Sterol regulatory element-binding protein cleavage-activating protein;SCAP;ortholog	receptor activity(GO:0004872)	lipid metabolic process(GO:0008152);cellular process(GO:0044238);lipid transport(GO:0006629);intracellular protein transport(GO:0009987);exocytosis(GO:0051179)	
HUMAN|HGNC=11175|UniProtKB=O95219	SNX4	Sorting nexin-4;SNX4;ortholog	lipid binding(GO:0005488)	cellular process(GO:0009987);vesicle-mediated transport(GO:0051179);organelle organization(GO:0006810)	membrane(GO:0016020);organelle(GO:0043226);cytoplasm(GO:0044464)
HUMAN|HGNC=15630|UniProtKB=O14776	TCERG1	Transcription elongation regulator 1;TCERG1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152)	
HUMAN|HGNC=19312|UniProtKB=Q56P03	EAPP	E2F-associated phosphoprotein;EAPP;ortholog		nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cell proliferation(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=7057|UniProtKB=O15320	CTAGE5	cTAGE family member 5;CTAGE5;ortholog	growth factor activity(GO:0005488)	cell cycle(GO:0009987)	
HUMAN|HGNC=29905|UniProtKB=O75534	CSDE1	Cold shock domain-containing protein E1;CSDE1;ortholog			
HUMAN|HGNC=11758|UniProtKB=Q92734	TFG	Protein TFG;TFG;ortholog			
HUMAN|HGNC=23571|UniProtKB=Q53SF7	COBLL1	Cordon-bleu protein-like 1;COBLL1;ortholog		ectoderm development(GO:0032502);nervous system development(GO:0007398)	
HUMAN|HGNC=11364|UniProtKB=P40763	STAT3	Signal transducer and activator of transcription 3;STAT3;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	immune response(GO:0002376);apoptotic process(GO:0006955);transcription from RNA polymerase II promoter(GO:0006915);cell communication(GO:0008152);mesoderm development(GO:0044238);apoptotic process(GO:0006139);hemopoiesis(GO:0016070);cellular defense response(GO:0006351);regulation of transcription from RNA polymerase II promoter(GO:0006366);negative regulation of apoptotic process(GO:0009987)	
HUMAN|HGNC=19910|UniProtKB=Q9H6R4	NOL6	Nucleolar protein 6;NOL6;ortholog		nitrogen compound metabolic process(GO:0008152);rRNA metabolic process(GO:0006807);cellular process(GO:0044238);RNA localization(GO:0006139);nucleobase-containing compound transport(GO:0016070);nuclear transport(GO:0016072);cellular component biogenesis(GO:0009987)	ribonucleoprotein complex(GO:0032991);protein complex(GO:0030529);nucleus(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=11957|UniProtKB=Q93074	MED12	Mediator of RNA polymerase II transcription subunit 12;MED12;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);protein binding(GO:0001071)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=29435|UniProtKB=Q8IX03	WWC1	Protein KIBRA;WWC1;ortholog			
HUMAN|HGNC=11999|UniProtKB=Q12888	TP53BP1	Tumor suppressor p53-binding protein 1;TP53BP1;ortholog			
HUMAN|HGNC=24682|UniProtKB=Q9Y5Y0	FLVCR1	Feline leukemia virus subgroup C receptor-related protein 1;FLVCR1;ortholog	transmembrane transporter activity(GO:0005215)	transport(GO:0051179)	
HUMAN|HGNC=2327|UniProtKB=O95639	CPSF4	Cleavage and polyadenylation specificity factor subunit 4;CPSF4;ortholog	endoribonuclease activity(GO:0003824);nucleic acid binding(GO:0016787)	nucleobase-containing compound metabolic process(GO:0008152)	
HUMAN|HGNC=812|UniProtKB=P16615	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;ATP2A2;ortholog	hydrolase activity(GO:0003824);ion channel activity(GO:0016787);cation transmembrane transporter activity(GO:0005215)	metabolic process(GO:0008152);cation transport(GO:0051179);cellular calcium ion homeostasis(GO:0006810)	
HUMAN|HGNC=11962|UniProtKB=O15417	TNRC18	Trinucleotide repeat-containing gene 18 protein;TNRC18;ortholog	DNA binding(GO:0005488)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);DNA metabolic process(GO:0009058);transcription, DNA-dependent(GO:0044238);cellular process(GO:0006139);regulation of nucleobase-containing compound metabolic process(GO:0006259);regulation of gene expression, epigenetic(GO:0016070);chromatin organization(GO:0006351);chromatin remodeling(GO:0009987);chromatin assembly(GO:0065007);cellular component biogenesis(GO:0050789)	protein complex(GO:0032991);nucleus(GO:0043234);chromosome(GO:0043226);intracellular(GO:0005634)
HUMAN|Gene=ENSG00000167674|UniProtKB=Q7Z4V5	HDGFRP2	Hepatoma-derived growth factor-related protein 2;HDGFRP2;ortholog	transcription cofactor activity(GO:0000988);sequence-specific DNA binding transcription factor activity(GO:0000989);sequence-specific DNA binding transcription factor activity(GO:0003712);growth factor activity(GO:0001071)	immune system process(GO:0002376);transcription from RNA polymerase II promoter(GO:0008152);cell-cell signaling(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	
HUMAN|HGNC=14214|UniProtKB=Q96RK0	CIC	Protein capicua homolog;CIC;ortholog			
HUMAN|HGNC=29511|UniProtKB=Q9UPN4	AZI1	5-azacytidine-induced protein 1;AZI1;ortholog			
HUMAN|HGNC=25648|UniProtKB=Q8N5J2	FAM63A	Protein FAM63A;FAM63A;ortholog			
HUMAN|HGNC=14067|UniProtKB=Q8WUI4	HDAC7	Histone deacetylase 7;HDAC7;ortholog	oxidoreductase activity(GO:0003824);deacetylase activity(GO:0016491);nucleic acid binding(GO:0016787)	apoptotic process(GO:0006915);transcription from RNA polymerase II promoter(GO:0008152);cell cycle(GO:0044238);apoptotic process(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070);negative regulation of apoptotic process(GO:0006351);chromatin organization(GO:0006366)	
HUMAN|HGNC=23386|UniProtKB=O75592	MYCBP2	E3 ubiquitin-protein ligase MYCBP2;MYCBP2;ortholog			
HUMAN|HGNC=9650|UniProtKB=P17706	PTPN2	Tyrosine-protein phosphatase non-receptor type 2;PTPN2;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787)	cellular protein modification process(GO:0008152)	cytoplasm(GO:0044464)
HUMAN|HGNC=24343|UniProtKB=Q9P0U4	CXXC1	CXXC-type zinc finger protein 1;CXXC1;ortholog	DNA binding(GO:0005488)	DNA metabolic process(GO:0008152)	
HUMAN|HGNC=3084|UniProtKB=O14640	DVL1	Segment polarity protein dishevelled homolog DVL-1;DVL1;ortholog	receptor binding(GO:0005488)	cell communication(GO:0009987);single-multicellular organism process(GO:0007154);anatomical structure morphogenesis(GO:0032501);embryo development(GO:0044707);nervous system development(GO:0032502);response to stimulus(GO:0009653);regulation of biological process(GO:0009790)	cytoplasm(GO:0044464)
HUMAN|HGNC=17307|UniProtKB=O14981	BTAF1	TATA-binding protein-associated factor 172;BTAF1;ortholog			
HUMAN|HGNC=704|UniProtKB=O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B;ARPC1B;ortholog	actin binding(GO:0005488)	protein complex assembly(GO:0008152);cellular process(GO:0044238);regulation of biological process(GO:0019538);cytoskeleton organization(GO:0006461);protein complex biogenesis(GO:0009987)	protein complex(GO:0032991);actin cytoskeleton(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=17040|UniProtKB=O15234	CASC3	Protein CASC3;CASC3;ortholog			
HUMAN|HGNC=30309|UniProtKB=O15258	RER1	Protein RER1;RER1;ortholog		cellular process(GO:0009987);vesicle-mediated transport(GO:0051179)	
HUMAN|HGNC=2721|UniProtKB=O43150	ASAP2	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2;ASAP2;ortholog	catalytic activity(GO:0003824);nucleic acid binding(GO:0005488);protein binding(GO:0003676);small GTPase regulator activity(GO:0005515)	metabolic process(GO:0008152);cellular process(GO:0009987);regulation of catalytic activity(GO:0065007)	
HUMAN|HGNC=29030|UniProtKB=O43159	RRP8	Ribosomal RNA-processing protein 8;RRP8;ortholog			
HUMAN|HGNC=3379|UniProtKB=O43491	EPB41L2	Band 4.1-like protein 2;EPB41L2;ortholog			
HUMAN|HGNC=28328|UniProtKB=O60293	ZFC3H1	Zinc finger C3H1 domain-containing protein;ZFC3H1;ortholog			
HUMAN|HGNC=20610|UniProtKB=O60346	PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1;PHLPP1;ortholog			
HUMAN|HGNC=1149|UniProtKB=O60566	BUB1B	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta;BUB1B;ortholog			
HUMAN|HGNC=8873|UniProtKB=O60825	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;PFKFB2;ortholog	carbohydrate phosphatase activity(GO:0003824);carbohydrate phosphatase activity(GO:0016787)	glycolysis(GO:0008152);glycolysis(GO:0006091)	
HUMAN|HGNC=2890|UniProtKB=O60832	DKC1	H/ACA ribonucleoprotein complex subunit 4;DKC1;ortholog	intramolecular transferase activity(GO:0003824)	nitrogen compound metabolic process(GO:0008152);rRNA metabolic process(GO:0006807);cellular process(GO:0044238);cellular component biogenesis(GO:0006139)	ribonucleoprotein complex(GO:0032991);nucleus(GO:0030529);intracellular(GO:0043226)
HUMAN|HGNC=29094|UniProtKB=O75153	CLUH	Clustered mitochondria protein homolog;CLUH;ortholog	translation initiation factor activity(GO:0005488);translation initiation factor activity(GO:0003676);translation initiation factor activity(GO:0003723)	translation(GO:0008152);regulation of translation(GO:0044238)	
HUMAN|HGNC=17886|UniProtKB=O75526	RBMXL2	RNA-binding motif protein, X-linked-like-2;RBMXL2;ortholog			
HUMAN|HGNC=30859|UniProtKB=O75643	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase;SNRNP200;ortholog			
HUMAN|HGNC=11478|UniProtKB=O75683	SURF6	Surfeit locus protein 6;SURF6;ortholog	nucleic acid binding(GO:0005488)		
HUMAN|HGNC=12607|UniProtKB=O94782	USP1	Ubiquitin carboxyl-terminal hydrolase 1;USP1;ortholog			
HUMAN|HGNC=17145|UniProtKB=O95295	SNAPIN	SNARE-associated protein Snapin;SNAPIN;ortholog			
HUMAN|HGNC=4868|UniProtKB=O95714	HERC2	E3 ubiquitin-protein ligase HERC2;HERC2;ortholog	ligase activity(GO:0003824)	catabolic process(GO:0008152);cellular protein modification process(GO:0009056);proteolysis(GO:0044238);cellular process(GO:0019538)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=9690|UniProtKB=O95997	PTTG1	Securin;PTTG1;ortholog			
HUMAN|HGNC=533|UniProtKB=P04083	ANXA1	Annexin A1;ANXA1;ortholog		fatty acid metabolic process(GO:0008152);cell communication(GO:0044238)	
HUMAN|HGNC=5246|UniProtKB=P04792	HSPB1	Heat shock protein beta-1;HSPB1;ortholog		immune system process(GO:0002376);protein folding(GO:0008152);muscle contraction(GO:0044238);visual perception(GO:0019538);sensory perception(GO:0006457);response to stress(GO:0032501)	
HUMAN|HGNC=4037|UniProtKB=P06241	FYN	Tyrosine-protein kinase Fyn;FYN;ortholog	protein kinase activity(GO:0003824);protein binding(GO:0016740)	immune response(GO:0002376);apoptotic process(GO:0006955);phosphate-containing compound metabolic process(GO:0006915);protein phosphorylation(GO:0008152);cellular component movement(GO:0006796);cell communication(GO:0044238);cell proliferation(GO:0019538);single-multicellular organism process(GO:0006464);apoptotic process(GO:0006468);nervous system development(GO:0009987);locomotion(GO:0006928);response to stress(GO:0007154);localization(GO:0008283);regulation of biological process(GO:0032501)	plasma membrane(GO:0016020);intracellular(GO:0005886)
HUMAN|HGNC=3350|UniProtKB=P06733	ENO1	Alpha-enolase;ENO1;ortholog	lyase activity(GO:0003824)	glycolysis(GO:0008152);glycolysis(GO:0006091)	
HUMAN|HGNC=7029|UniProtKB=P08581	MET	Hepatocyte growth factor receptor;MET;ortholog			
HUMAN|HGNC=12692|UniProtKB=P08670	VIM	Vimentin;VIM;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	intermediate filament cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=11005|UniProtKB=P11166	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1;SLC2A1;ortholog			
HUMAN|HGNC=5467|UniProtKB=P11717	IGF2R	Cation-independent mannose-6-phosphate receptor;IGF2R;ortholog	receptor activity(GO:0004872)	cellular process(GO:0009987)	
HUMAN|HGNC=4055|UniProtKB=P12956	XRCC6	X-ray repair cross-complementing protein 6;XRCC6;ortholog	DNA helicase activity(GO:0003824);nucleic acid binding(GO:0004386)	immune system process(GO:0002376);DNA repair(GO:0008152);DNA recombination(GO:0044238)	
HUMAN|HGNC=3214|UniProtKB=P13639	EEF2	Elongation factor 2;EEF2;ortholog	GTPase activity(GO:0003824);translation initiation factor activity(GO:0016787);translation elongation factor activity(GO:0003924);translation initiation factor activity(GO:0005488);translation elongation factor activity(GO:0003676);protein binding(GO:0003723);translation initiation factor activity(GO:0008135);translation elongation factor activity(GO:0003743)	translation(GO:0008152);regulation of translation(GO:0044238)	
HUMAN|HGNC=4920|UniProtKB=P15822	HIVEP1	Zinc finger protein 40;HIVEP1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);regulation of transcription from RNA polymerase II promoter(GO:0044238)	
HUMAN|HGNC=3052|UniProtKB=P15924	DSP	Desmoplakin;DSP;ortholog	structural constituent of cytoskeleton(GO:0005198);actin binding(GO:0005200)	cellular process(GO:0009987);anatomical structure morphogenesis(GO:0032502);cellular component organization(GO:0009653)	actin cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=1681|UniProtKB=P16070	CD44	CD44 antigen;CD44;ortholog			
HUMAN|HGNC=7664|UniProtKB=P16333	NCK1	Cytoplasmic protein NCK1;NCK1;ortholog	GTPase activity(GO:0003824);pyrophosphatase activity(GO:0016787);nucleotide binding(GO:0003924);small GTPase regulator activity(GO:0016462);guanyl-nucleotide exchange factor activity(GO:0005488)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular process(GO:0044238);transport(GO:0006139);regulation of biological process(GO:0009987);regulation of catalytic activity(GO:0051179)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=13032|UniProtKB=P17028	ZNF24	Zinc finger protein 24;ZNF24;ortholog			
HUMAN|HGNC=13101|UniProtKB=P17029	ZKSCAN1	Zinc finger protein with KRAB and SCAN domains 1;ZKSCAN1;ortholog			
HUMAN|HGNC=6206|UniProtKB=P17535	JUND	Transcription factor jun-D;JUND;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	transcription from RNA polymerase II promoter(GO:0008152);cell cycle(GO:0044238);cell communication(GO:0006139);regulation of transcription from RNA polymerase II promoter(GO:0016070)	
HUMAN|HGNC=2519|UniProtKB=P17812	CTPS1	CTP synthase 1;CTPS1;ortholog	ligase activity(GO:0003824)	pyrimidine nucleobase metabolic process(GO:0008152)	
HUMAN|HGNC=12665|UniProtKB=P18206	VCL	Vinculin;VCL;ortholog			
HUMAN|HGNC=11183|UniProtKB=P18583	SON	Protein SON;SON;ortholog			
HUMAN|HGNC=814|UniProtKB=P20020	ATP2B1	Plasma membrane calcium-transporting ATPase 1;ATP2B1;ortholog	hydrolase activity(GO:0003824);ion channel activity(GO:0016787);cation transmembrane transporter activity(GO:0005215)	metabolic process(GO:0008152);cation transport(GO:0051179);cellular calcium ion homeostasis(GO:0006810)	
HUMAN|HGNC=8503|UniProtKB=P22059	OSBP	Oxysterol-binding protein 1;OSBP;ortholog			
HUMAN|HGNC=10332|UniProtKB=P39023	RPL3	60S ribosomal protein L3;RPL3;ortholog	structural constituent of ribosome(GO:0005198);nucleic acid binding(GO:0003735)	translation(GO:0008152)	
HUMAN|HGNC=1867|UniProtKB=P41208	CETN2	Centrin-2;CETN2;ortholog	calcium ion binding(GO:0005488);calmodulin binding(GO:0005509)	cellular component movement(GO:0009987);cell cycle(GO:0006928);cell communication(GO:0007049)	
HUMAN|HGNC=6583|UniProtKB=P41214	EIF2D	Eukaryotic translation initiation factor 2D;EIF2D;ortholog	receptor activity(GO:0004872)	intracellular protein transport(GO:0051179)	
HUMAN|HGNC=3942|UniProtKB=P42345	MTOR	Serine/threonine-protein kinase mTOR;MTOR;ortholog	transferase activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);DNA repair(GO:0006807);DNA recombination(GO:0044238);cellular process(GO:0006139);response to stress(GO:0006259)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=9661|UniProtKB=P43378	PTPN9	Tyrosine-protein phosphatase non-receptor type 9;PTPN9;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787)	cellular protein modification process(GO:0008152)	cytoplasm(GO:0044464)
HUMAN|HGNC=7756|UniProtKB=P48681	NES	Nestin;NES;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	intermediate filament cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=1711|UniProtKB=P48960	CD97	CD97 antigen;CD97;ortholog	G-protein coupled receptor activity(GO:0004872)	spermatogenesis(GO:0000003);B cell mediated immunity(GO:0007276);synaptic transmission(GO:0007283);neurotransmitter secretion(GO:0002376);mesoderm development(GO:0006955);angiogenesis(GO:0019724);heart development(GO:0009987);response to stress(GO:0007154);intracellular protein transport(GO:0007267);synaptic vesicle exocytosis(GO:0007268)	
HUMAN|HGNC=1857|UniProtKB=P49454	CENPF	Centromere protein F;CENPF;ortholog			
HUMAN|HGNC=23244|UniProtKB=P49756	RBM25	RNA-binding protein 25;RBM25;ortholog			
HUMAN|HGNC=24941|UniProtKB=P51991	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3;HNRNPA3;ortholog			
HUMAN|HGNC=2230|UniProtKB=P53621	COPA	Coatomer subunit alpha;COPA;ortholog		intracellular protein transport(GO:0051179);exocytosis(GO:0006810);endocytosis(GO:0015031)	vesicle coat(GO:0032991);cytoplasm(GO:0043234)
HUMAN|HGNC=4837|UniProtKB=P53701	HCCS	Cytochrome c-type heme lyase;HCCS;ortholog	lyase activity(GO:0003824)	coenzyme metabolic process(GO:0008152);cellular protein modification process(GO:0006732)	
HUMAN|HGNC=10922|UniProtKB=P53985	SLC16A1	Monocarboxylate transporter 1;SLC16A1;ortholog	transmembrane transporter activity(GO:0005215)	cellular process(GO:0009987);anion transport(GO:0051179)	plasma membrane(GO:0016020);integral to membrane(GO:0005886);cell part(GO:0016021)
HUMAN|HGNC=3033|UniProtKB=P54259	ATN1	Atrophin-1;ATN1;ortholog		cellular component movement(GO:0009987)	
HUMAN|HGNC=12005|UniProtKB=P55327	TPD52	Tumor protein D52;TPD52;ortholog			
HUMAN|HGNC=5044|UniProtKB=P61978	HNRNPK	Heterogeneous nuclear ribonucleoprotein K;HNRNPK;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488);protein binding(GO:0003676)	induction of apoptosis(GO:0006915);RNA splicing, via transesterification reactions(GO:0006917);transcription from RNA polymerase II promoter(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139);protein metabolic process(GO:0016070);cell communication(GO:0000375);neurological system process(GO:0006351);induction of apoptosis(GO:0006366);intracellular protein transport(GO:0006397);nuclear transport(GO:0000398)	ribonucleoprotein complex(GO:0032991)
HUMAN|HGNC=20510|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=4788|UniProtKB=P62805	HIST1H4A	Histone H4;HIST1H4A;ortholog			
HUMAN|HGNC=10781|UniProtKB=P62995	TRA2B	Transformer-2 protein homolog beta;TRA2B;ortholog	catalytic activity(GO:0003824);mRNA binding(GO:0005488)	RNA splicing, via transesterification reactions(GO:0008152);mRNA splicing, via spliceosome(GO:0044238);RNA splicing, via transesterification reactions(GO:0006139)	
HUMAN|HGNC=12855|UniProtKB=P63104	YWHAZ	14-3-3 protein zeta/delta;YWHAZ;ortholog		cell cycle(GO:0009987);cell communication(GO:0007049)	
HUMAN|HGNC=30329|UniProtKB=P78345	RPP38	Ribonuclease P protein subunit p38;RPP38;ortholog	endoribonuclease activity(GO:0003824);nucleic acid binding(GO:0016787)	tRNA metabolic process(GO:0008152);translation(GO:0044238)	
HUMAN|HGNC=11306|UniProtKB=P78362	SRPK2	SRSF protein kinase 2;SRPK2;ortholog	protein kinase activity(GO:0003824)	immune system process(GO:0002376);protein phosphorylation(GO:0008152);cellular component movement(GO:0044238);mitosis(GO:0019538);cell communication(GO:0006464);response to stress(GO:0006468)	
HUMAN|HGNC=11870|UniProtKB=P82094	TMF1	TATA element modulatory factor;TMF1;ortholog	motor activity(GO:0003824);structural constituent of cytoskeleton(GO:0016787);protein binding(GO:0016462);enzyme regulator activity(GO:0003774)	metabolic process(GO:0008152);cytokinesis(GO:0009987);cellular component movement(GO:0000910);mitosis(GO:0006928);cell communication(GO:0007049);muscle contraction(GO:0007067);sensory perception of sound(GO:0007154);sensory perception(GO:0032501);mesoderm development(GO:0044707);anatomical structure morphogenesis(GO:0003008);muscle organ development(GO:0006936);intracellular protein transport(GO:0007605);vesicle-mediated transport(GO:0050877);regulation of catalytic activity(GO:0007600);cellular component organization(GO:0032502)	plasma membrane(GO:0016020);actin cytoskeleton(GO:0005886);intracellular(GO:0043226)
HUMAN|HGNC=1703|UniProtKB=Q01151	CD83	CD83 antigen;CD83;ortholog			
HUMAN|HGNC=6392|UniProtKB=Q02241	KIF23	Kinesin-like protein KIF23;KIF23;ortholog	motor activity(GO:0003824)	phosphate-containing compound metabolic process(GO:0008152);nitrogen compound metabolic process(GO:0006796);catabolic process(GO:0006807);nucleobase-containing compound metabolic process(GO:0009056);cellular component movement(GO:0044238)	protein complex(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0043226)
HUMAN|HGNC=6638|UniProtKB=Q03252	LMNB2	Lamin-B2;LMNB2;ortholog	structural constituent of cytoskeleton(GO:0005198)	cellular process(GO:0009987);cellular component morphogenesis(GO:0032502);cellular component organization(GO:0009653)	intermediate filament cytoskeleton(GO:0043226);intracellular(GO:0005856)
HUMAN|HGNC=6387|UniProtKB=Q07866	KLC1	Kinesin light chain 1;KLC1;ortholog	transferase activity(GO:0003824);structural constituent of cytoskeleton(GO:0016740)	primary metabolic process(GO:0008152);protein targeting(GO:0044238);vesicle-mediated transport(GO:0051179)	microtubule(GO:0032991);cytoskeleton(GO:0043234);intracellular(GO:0005874)
HUMAN|HGNC=29557|UniProtKB=Q0ZGT2	NEXN	Nexilin;NEXN;ortholog	phosphoprotein phosphatase activity(GO:0003824);phosphoprotein phosphatase activity(GO:0016787);receptor activity(GO:0016788)	cellular protein modification process(GO:0008152);cell cycle(GO:0044238)	
HUMAN|HGNC=3800|UniProtKB=Q12948	FOXC1	Forkhead box protein C1;FOXC1;ortholog	sequence-specific DNA binding transcription factor activity(GO:0001071);sequence-specific DNA binding transcription factor activity(GO:0003700)	nitrogen compound metabolic process(GO:0008152);biosynthetic process(GO:0006807);transcription from RNA polymerase II promoter(GO:0009058);cellular process(GO:0044238);regulation of transcription from RNA polymerase II promoter(GO:0006139)	organelle(GO:0043226);intracellular(GO:0044464)
HUMAN|HGNC=1720|UniProtKB=Q13042	CDC16	Cell division cycle protein 16 homolog;CDC16;ortholog		mitosis(GO:0009987)	
HUMAN|HGNC=30292|UniProtKB=Q13283	G3BP1	Ras GTPase-activating protein-binding protein 1;G3BP1;ortholog	RNA binding(GO:0005488);receptor binding(GO:0003676)	transport(GO:0051179)	
